상품명,가격,링크
LG전자 LG그램 15ZD95N-LX20K,764990,https://search.shopping.naver.com/gate.nhn?id=31514783619
레노버 아이디어패드 Slim3 15ABA7 R5 DOS,567150,https://search.shopping.naver.com/gate.nhn?id=32917151618
LG전자 LG그램 16Z95P-GA5LK,1398990,https://search.shopping.naver.com/gate.nhn?id=30244739618
LG전자 그램360 16TD90P-GX5DK,1227980,https://search.shopping.naver.com/gate.nhn?id=30378458619
포유디지탈 아이뮤즈 스톰북 윈도우10포함,279000,https://search.shopping.naver.com/gate.nhn?id=23564574490
삼성전자 갤럭시북 프로360 NT950QDB-KC72S,1542030,https://search.shopping.naver.com/gate.nhn?id=29139781619
HP 15S-EQ3043AU,499000,https://search.shopping.naver.com/gate.nhn?id=32144904618
삼성전자 삼성 NT350XCR-AD5AS,688800,https://search.shopping.naver.com/gate.nhn?id=25228569522
삼성전자 갤럭시북 플렉스 NT950QCG-X716A,2290000,https://search.shopping.naver.com/gate.nhn?id=21490590936
레노버 리전 5 17ACH R7 3060,1305000,https://search.shopping.naver.com/gate.nhn?id=28742210554
LG전자 LG그램 14ZD95P-GX56K,1340740,https://search.shopping.naver.com/gate.nhn?id=30442844619
[대여] 게이밍<b>노트북</b>렌탈 최신 2020년 i7 17형 고사양<b>노트북</b> 임대렌트(감사행사중),19500,https://search.shopping.naver.com/gate.nhn?id=82482413450
LG전자 LG그램 15Z95P-GA5LK,1438990,https://search.shopping.naver.com/gate.nhn?id=30281791618
LG전자 그램17 17ZD90P-GX50K,1389980,https://search.shopping.naver.com/gate.nhn?id=25255964522
삼성전자 갤럭시북2 프로360 NT950QED-KC51G,1761550,https://search.shopping.naver.com/gate.nhn?id=31434196619
LG전자 그램15 15ZD90P-GX76K,1298890,https://search.shopping.naver.com/gate.nhn?id=27405491522
LG전자 그램17 17Z90P-GA76K,1848990,https://search.shopping.naver.com/gate.nhn?id=25255950522
LG전자 그램360 16T90P-GA7DK,1732210,https://search.shopping.naver.com/gate.nhn?id=30366682618
ASUS 비보북프로 15 OLED M3500QA-L1073,749000,https://search.shopping.naver.com/gate.nhn?id=29878784624
주연테크 캐리북T 프로 J3GP Pro,469000,https://search.shopping.naver.com/gate.nhn?id=23107275490
LG전자 LG그램 14ZD95P-GX30K,1048640,https://search.shopping.naver.com/gate.nhn?id=30443007618
HP 15s-fq5001TU,790590,https://search.shopping.naver.com/gate.nhn?id=33189857622
